,State,LGA,Urban_Target,Rural_Target,Unnamed: 4,Urban_Collected,Rural_Collected,Urban_Completion,Rural_Completion,Urban_Deficit,Rural_Deficit
64,Akwa-Ibom,Udung-Uko,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
65,Akwa-Ibom,Ukanafun,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
66,Akwa-Ibom,Uruan,3,6,9,0.0,5.0,0.0,83.33333333333334,3.0,1.0
67,Akwa-Ibom,Urue-Offong/Oruko,3,6,9,0.0,0.0,0.0,0.0,3.0,6.0
68,Akwa-Ibom,Uyo,3,6,9,9.0,9.0,300.0,150.0,0.0,0.0
110,Bayelsa,Brass,3,7,10,0.0,0.0,0.0,0.0,3.0,7.0
111,Bayelsa,Ekeremor,3,7,10,3.0,6.0,100.0,85.71428571428571,0.0,1.0
112,Bayelsa,Kolokuma/Opokuma,3,7,10,1.0,5.0,33.33333333333333,71.42857142857143,2.0,2.0
113,Bayelsa,Nembe,3,7,10,1.0,0.0,33.33333333333333,0.0,2.0,7.0
114,Bayelsa,Ogbia,3,7,10,2.0,7.0,66.66666666666666,100.0,1.0,0.0
115,Bayelsa,Sagbama,3,7,10,3.0,5.0,100.0,71.42857142857143,0.0,2.0
116,Bayelsa,Southern Ijaw,3,7,10,4.0,6.0,133.33333333333331,85.71428571428571,0.0,1.0
117,Bayelsa,Yenagoa,3,7,10,7.0,3.0,233.33333333333334,42.857142857142854,0.0,4.0
168,Cross River,Abi,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
169,Cross River,Akamkpa,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
170,Cross River,Akpabuyo,3,8,11,3.0,7.0,100.0,87.5,0.0,1.0
171,Cross River,Bakassi,3,8,11,5.0,5.0,166.66666666666669,62.5,0.0,3.0
172,Cross River,Bekwarra,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
173,Cross River,Biase,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
174,Cross River,Boki,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
175,Cross River,Calabar Municipal,3,8,11,5.0,7.0,166.66666666666669,87.5,0.0,1.0
176,Cross River,Calabar South,3,8,11,2.0,10.0,66.66666666666666,125.0,1.0,0.0
177,Cross River,Etung,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
178,Cross River,Ikom,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
179,Cross River,Obanliku,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
180,Cross River,Obubra,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
181,Cross River,Obudu,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
182,Cross River,Odukpani,3,8,11,3.0,2.0,100.0,25.0,0.0,6.0
183,Cross River,Ogoja,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
184,Cross River,Yakurr,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
185,Cross River,Yala,3,8,11,0.0,0.0,0.0,0.0,3.0,8.0
186,Delta,Aniocha North,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
187,Delta,Aniocha South,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
188,Delta,Bomadi,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
189,Delta,Burutu,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
190,Delta,Ethiope East,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
191,Delta,Ethiope West,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
192,Delta,Ika North East,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
193,Delta,Ika South,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
194,Delta,Isoko North,5,5,10,0.0,7.0,0.0,140.0,5.0,0.0
195,Delta,Isoko South,5,5,10,0.0,6.0,0.0,120.0,5.0,0.0
196,Delta,Ndokwa East,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
197,Delta,Ndokwa West,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
198,Delta,Okpe,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
199,Delta,Oshimili North,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
200,Delta,Oshimili South,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
201,Delta,Patani,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
202,Delta,Sapele,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
203,Delta,Udu,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
204,Delta,Ughelli North,5,5,10,5.0,6.0,100.0,120.0,0.0,0.0
205,Delta,Ughelli South,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
206,Delta,Ukwuani,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
207,Delta,Uvwie,5,5,10,4.0,0.0,80.0,0.0,1.0,5.0
208,Delta,Warri North,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
209,Delta,Warri South,5,5,10,5.0,0.0,100.0,0.0,0.0,5.0
210,Delta,Warri South West,5,5,10,0.0,0.0,0.0,0.0,5.0,5.0
224,Edo,Akoko-Edo,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
225,Edo,Benin,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
226,Edo,Egor,6,4,10,6.0,4.0,100.0,100.0,0.0,0.0
227,Edo,Esan Central,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
228,Edo,Esan North-East,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
229,Edo,Esan South-East,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
230,Edo,Esan West,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
231,Edo,Etsako Central,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
232,Edo,Etsako East,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
233,Edo,Etsako West,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
234,Edo,Igueben,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
235,Edo,Ikpoba Okha,6,4,10,5.0,3.0,83.33333333333334,75.0,1.0,1.0
236,Edo,Oredo,6,4,10,6.0,4.0,100.0,100.0,0.0,0.0
237,Edo,Orhionmwon,6,4,10,6.0,4.0,100.0,100.0,0.0,0.0
238,Edo,Ovia North-East,6,4,10,4.0,2.0,66.66666666666666,50.0,2.0,2.0
239,Edo,Ovia South-West,6,4,10,6.0,4.0,100.0,100.0,0.0,0.0
240,Edo,Owan East,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
241,Edo,Owan West,6,4,10,0.0,0.0,0.0,0.0,6.0,4.0
242,Edo,Uhunmwonde,6,4,10,5.0,4.0,83.33333333333334,100.0,1.0,0.0
243,Ekiti,Ado Ekiti,8,3,11,9.0,3.0,112.5,100.0,0.0,0.0
244,Ekiti,Efon,8,3,11,4.0,2.0,50.0,66.66666666666666,4.0,1.0
245,Ekiti,Ekiti East,8,3,11,0.0,0.0,0.0,0.0,8.0,3.0
246,Ekiti,Ekiti South-West,8,3,11,8.0,3.0,100.0,100.0,0.0,0.0
247,Ekiti,Ekiti West,8,3,11,0.0,0.0,0.0,0.0,8.0,3.0
248,Ekiti,Emure,8,3,11,8.0,2.0,100.0,66.66666666666666,0.0,1.0
249,Ekiti,Gbonyin,8,3,11,8.0,3.0,100.0,100.0,0.0,0.0
250,Ekiti,Ido Osi,8,3,11,8.0,0.0,100.0,0.0,0.0,3.0
251,Ekiti,Ijero,8,3,11,9.0,2.0,112.5,66.66666666666666,0.0,1.0
252,Ekiti,Ikere,8,3,11,8.0,3.0,100.0,100.0,0.0,0.0
253,Ekiti,Ikole,8,3,11,8.0,3.0,100.0,100.0,0.0,0.0
254,Ekiti,Ilejemeje,8,3,11,0.0,0.0,0.0,0.0,8.0,3.0
255,Ekiti,Irepodun/Ifelodun,8,3,11,8.0,2.0,100.0,66.66666666666666,0.0,1.0
256,Ekiti,Ise/Orun,8,3,11,6.0,0.0,75.0,0.0,2.0,3.0
257,Ekiti,Moba,8,3,11,0.0,0.0,0.0,0.0,8.0,3.0
258,Ekiti,Oye,8,3,11,7.0,3.0,87.5,100.0,1.0,0.0
495,Lagos,Agege,29,3,32,27.0,3.0,93.10344827586206,100.0,2.0,0.0
496,Lagos,Ajeromi-Ifelodun,29,3,32,7.0,3.0,24.137931034482758,100.0,22.0,0.0
497,Lagos,Alimosho,29,3,32,24.0,3.0,82.75862068965517,100.0,5.0,0.0
498,Lagos,Amuwo-Odofin,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
499,Lagos,Apapa,29,3,32,11.0,0.0,37.93103448275862,0.0,18.0,3.0
500,Lagos,Badagry,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
501,Lagos,Epe,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
502,Lagos,Eti-Osa,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
503,Lagos,Ibeju-Lekki,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
504,Lagos,Ifako-Ijaiye,29,3,32,30.0,3.0,103.44827586206897,100.0,0.0,0.0
505,Lagos,Ikeja,29,3,32,25.0,5.0,86.20689655172413,166.66666666666669,4.0,0.0
506,Lagos,Ikorodu,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
507,Lagos,Kosofe,29,3,32,30.0,3.0,103.44827586206897,100.0,0.0,0.0
508,Lagos,Lagos Island,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
509,Lagos,Lagos Mainland,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
510,Lagos,Mushin,29,3,32,23.0,3.0,79.3103448275862,100.0,6.0,0.0
511,Lagos,Ojo,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
512,Lagos,Oshodi-Isolo,29,3,32,28.0,3.0,96.55172413793103,100.0,1.0,0.0
513,Lagos,Somolu,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
514,Lagos,Surulere,29,3,32,0.0,0.0,0.0,0.0,29.0,3.0
553,Ogun,Abeokuta North,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
554,Ogun,Abeokuta South,6,6,12,2.0,6.0,33.33333333333333,100.0,4.0,0.0
555,Ogun,Ado-Odo/Ota,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
556,Ogun,Ewekoro,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
557,Ogun,Ifo,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
558,Ogun,Ijebu East,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
559,Ogun,Ijebu North,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
560,Ogun,Ijebu North East,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
561,Ogun,Ijebu Ode,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
562,Ogun,Ikenne,6,6,12,8.0,4.0,133.33333333333331,66.66666666666666,0.0,2.0
563,Ogun,Ilishan-Remo,6,6,12,5.0,6.0,83.33333333333334,100.0,1.0,0.0
564,Ogun,Imeko Afon,6,6,12,5.0,6.0,83.33333333333334,100.0,1.0,0.0
565,Ogun,Ipokia,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
566,Ogun,Obafemi Owode,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
567,Ogun,Odeda,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
568,Ogun,Odogbolu,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
569,Ogun,Ogun Waterside,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
570,Ogun,Remo North,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
571,Ogun,Shagamu,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
572,Ogun,Yewa North,6,6,12,6.0,7.0,100.0,116.66666666666667,0.0,0.0
573,Ogun,Yewa South,6,6,12,11.0,6.0,183.33333333333331,100.0,0.0,0.0
574,Ondo,Akoko North-East,5,6,11,5.0,5.0,100.0,83.33333333333334,0.0,1.0
575,Ondo,Akoko North-West,5,6,11,5.0,6.0,100.0,100.0,0.0,0.0
576,Ondo,Akoko South-East,5,6,11,5.0,5.0,100.0,83.33333333333334,0.0,1.0
577,Ondo,Akoko South-West,5,6,11,5.0,6.0,100.0,100.0,0.0,0.0
578,Ondo,Akure North,5,6,11,5.0,6.0,100.0,100.0,0.0,0.0
579,Ondo,Akure South,5,6,11,6.0,6.0,120.0,100.0,0.0,0.0
580,Ondo,Ese Odo,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
581,Ondo,Idanre,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
582,Ondo,Ifedore,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
583,Ondo,Ilaje,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
584,Ondo,Ile-Oluji/Okeigbo,5,6,11,7.0,3.0,140.0,50.0,0.0,3.0
585,Ondo,Irele,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
586,Ondo,Odigbo,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
587,Ondo,Okitipupa,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
588,Ondo,Ondo East,5,6,11,5.0,6.0,100.0,100.0,0.0,0.0
589,Ondo,Ondo West,5,6,11,5.0,6.0,100.0,100.0,0.0,0.0
590,Ondo,Ose,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
591,Ondo,Owo,5,6,11,0.0,0.0,0.0,0.0,5.0,6.0
592,Osun,Aiyedaade,5,3,8,5.0,3.0,100.0,100.0,0.0,0.0
593,Osun,Aiyedire,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
594,Osun,Atakunmosa East,5,3,8,4.0,4.0,80.0,133.33333333333331,1.0,0.0
595,Osun,Atakunmosa West,5,3,8,1.0,0.0,20.0,0.0,4.0,3.0
596,Osun,Boluwaduro,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
597,Osun,Boripe,5,3,8,4.0,3.0,80.0,100.0,1.0,0.0
598,Osun,Ede North,5,3,8,7.0,4.0,140.0,133.33333333333331,0.0,0.0
599,Osun,Ede South,5,3,8,1.0,2.0,20.0,66.66666666666666,4.0,1.0
600,Osun,Egbedore,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
601,Osun,Ejigbo,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
602,Osun,Ife Central,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
603,Osun,Ife East,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
604,Osun,Ife North,5,3,8,1.0,0.0,20.0,0.0,4.0,3.0
605,Osun,Ife South,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
606,Osun,Ifedayo,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
607,Osun,Ifelodun,5,3,8,6.0,3.0,120.0,100.0,0.0,0.0
608,Osun,Ila,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
609,Osun,Ilesa East,5,3,8,0.0,3.0,0.0,100.0,5.0,0.0
610,Osun,Ilesa West,5,3,8,4.0,2.0,80.0,66.66666666666666,1.0,1.0
611,Osun,Irepodun,5,3,8,4.0,3.0,80.0,100.0,1.0,0.0
612,Osun,Irewole,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
613,Osun,Isokan,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
614,Osun,Iwo,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
615,Osun,Obokun,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
616,Osun,Odo-Otin,5,3,8,5.0,4.0,100.0,133.33333333333331,0.0,0.0
617,Osun,Ola-Oluwa,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
618,Osun,Olorunda,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
619,Osun,Ori-Ade,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
620,Osun,Orolu,5,3,8,5.0,3.0,100.0,100.0,0.0,0.0
621,Osun,Osogbo,5,3,8,0.0,0.0,0.0,0.0,5.0,3.0
622,Oyo,Afijio,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
623,Oyo,Akinyele,6,3,9,5.0,5.0,83.33333333333334,166.66666666666669,1.0,0.0
624,Oyo,Asabari,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
625,Oyo,Atiba,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
626,Oyo,Atisbo,6,3,9,5.0,4.0,83.33333333333334,133.33333333333331,1.0,0.0
627,Oyo,Egbeda,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
628,Oyo,Ibadan North,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
629,Oyo,Ibadan North-East,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
630,Oyo,Ibadan North-West,6,3,9,2.0,3.0,33.33333333333333,100.0,4.0,0.0
631,Oyo,Ibadan South-East,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
632,Oyo,Ibadan South-West,6,3,9,7.0,3.0,116.66666666666667,100.0,0.0,0.0
633,Oyo,Ibarapa Central,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
634,Oyo,Ibarapa East,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
635,Oyo,Ibarapa North,6,3,9,6.0,2.0,100.0,66.66666666666666,0.0,1.0
636,Oyo,Ido,6,3,9,6.0,4.0,100.0,133.33333333333331,0.0,0.0
637,Oyo,Irepo,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
638,Oyo,Iseyin,6,3,9,6.0,4.0,100.0,133.33333333333331,0.0,0.0
639,Oyo,Itesiwaju,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
640,Oyo,Iwajowa,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
641,Oyo,Kajola,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
642,Oyo,Lagelu,6,3,9,1.0,0.0,16.666666666666664,0.0,5.0,3.0
643,Oyo,Ogbomosho North,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
644,Oyo,Ogbomosho South,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
645,Oyo,Ogo Oluwa,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
646,Oyo,Olorunsogo,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
647,Oyo,Oluyole,6,3,9,4.0,3.0,66.66666666666666,100.0,2.0,0.0
648,Oyo,Ona Ara,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
649,Oyo,Orelope,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
650,Oyo,Orire,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
651,Oyo,Oyo East,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
652,Oyo,Oyo West,6,3,9,0.0,0.0,0.0,0.0,6.0,3.0
653,Oyo,Saki East,6,3,9,6.0,5.0,100.0,166.66666666666669,0.0,0.0
654,Oyo,Saki West,6,3,9,6.0,1.0,100.0,33.33333333333333,0.0,2.0
655,Oyo,Surulere,6,3,9,6.0,3.0,100.0,100.0,0.0,0.0
673,River's,Abua-Odual,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
674,River's,Ahoada East,6,6,12,5.0,5.0,83.33333333333334,83.33333333333334,1.0,1.0
675,River's,Ahoada West,6,6,12,5.0,8.0,83.33333333333334,133.33333333333331,1.0,0.0
676,River's,Akuku Toru,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
677,River's,Andoni,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
678,River's,Asari Toru,6,6,12,6.0,1.0,100.0,16.666666666666664,0.0,5.0
679,River's,Bonny,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
680,River's,Degema,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
681,River's,Eleme,6,6,12,1.0,0.0,16.666666666666664,0.0,5.0,6.0
682,River's,Emohua,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
683,River's,Etche,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
684,River's,Gokana,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
685,River's,Ikwerre,6,6,12,6.0,5.0,100.0,83.33333333333334,0.0,1.0
686,River's,Khana,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
687,River's,Obio-Akpor,6,6,12,8.0,6.0,133.33333333333331,100.0,0.0,0.0
688,River's,Ogba-Egbema-Ndoni,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
689,River's,Ogu-Bolo,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
690,River's,Okirika,6,6,12,6.0,6.0,100.0,100.0,0.0,0.0
691,River's,Omuma,6,6,12,6.0,3.0,100.0,50.0,0.0,3.0
692,River's,Opobo-Nkoro,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
693,River's,Oyigbo,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
694,River's,Port Harcourt,6,6,12,6.0,7.0,100.0,116.66666666666667,0.0,0.0
695,River's,Tai,6,6,12,0.0,0.0,0.0,0.0,6.0,6.0
